SITE_NAME,lat,lon
Inwood Hill State Park ,40.8772158,-73.92580936
Blue Heron Park ,40.53160045,-74.17546172
Corporate Park Woods,40.62105006,-74.16992525
Van Cortlandt Park ,40.89738677,-73.88615858
Soundview Park ,40.81733496,-73.87507585
Flushing Meadows Corona Park ,40.74018192,-73.84070603
Greenbelt Recreation Center ,40.7667967,-74.17235899
Green-Wood Cemetery,40.6687475,-73.99317084
Arden Woods ,40.66519469,-74.19195136
Floyd Bennett Field ,40.59114773,-73.89059837
