SITE_NAME,ID,REPLICATE,DEPTH_CM,DEPTH_RANGE,-15_KUNSAT,-10_KUNSAT,-5_KUNSAT
CF Floyd Bennett,CF,b,19,19-34,0.02,0.03,0.04
CF Floyd Bennett,CF,b,34,34-44,0.43,0.52,0.38
CF Floyd Bennett,CF,b,44,44-86,0.66,1.66,0.62
CF Floyd Bennett,CF,c,0,0-13,NaN,NaN,NaN
CF Floyd Bennett,CF,c,13,13-19,0.08,0.13,0.23
CF Floyd Bennett,CF,c,19,19-34,NaN,NaN,NaN
CF Floyd Bennett,CF,c,34,34-44,0.24,0.14,0.56
CF Floyd Bennett,CF,c,44,44-86,1.08,1.88,0.97
Greenwood Cemetery,GC,a,0,0-13,0.46,1.18,3.13
Greenwood Cemetery,GC,a,13,13-28,0.17,0.21,0.59
Greenwood Cemetery,GC,a,43,43-63,0.06,0.17,0.16
Greenwood Cemetery,GC,a,63,63-77,0.52,0.48,0.57
Greenwood Cemetery,GC,a,104,104-117,0.47,0.49,1.66
Greenwood Cemetery,GC,b,0,0-13,0.46,1.72,1.55
Greenwood Cemetery,GC,b,13,13-28,0.25,0.32,0.71
Greenwood Cemetery,GC,b,43,43-63,0.12,0.08,0.04
Greenwood Cemetery,GC,b,63,63-77,0.23,0.16,0.69
Greenwood Cemetery,GC,b,104,104-117,0.44,0.8,1.05
Greenwood Cemetery,GC,c,0,0-13,0.31,0.22,0.38
Greenwood Cemetery,GC,c,13,13-28,0.08,0.15,0.27
Greenwood Cemetery,GC,c,43,43-63,0.11,0.11,0.3
Greenwood Cemetery,GC,c,63,63-77,0.02,0.02,0.03
Greenwood Cemetery,GC,c,104,104-117,0.12,0.18,0.52
Greenbelt Recreation Center,GB,a,0,0-25,0.5,0.53,1.27
Greenbelt Recreation Center,GB,a,25,25-42,0.17,0.16,1.58
Greenbelt Recreation Center,GB,a,42,42-71,0.08,0.14,2.42
Greenbelt Recreation Center,GB,a,71,71-91,0.91,0.72,0.7
Greenbelt Recreation Center,GB,a,91,91-130,0.47,0.69,1.58
Greenbelt Recreation Center,GB,b,0,0-25,1.05,1.48,1.74
Greenbelt Recreation Center,GB,b,25,25-42,0.07,0.03,0.07
Greenbelt Recreation Center,GB,b,42,42-71,0.04,0.08,0.43
Greenbelt Recreation Center,GB,b,71,71-91,0.18,0.15,0.55
Greenbelt Recreation Center,GB,b,91,91-130,0.05,0.04,0.14
Greenbelt Recreation Center,GB,c,0,0-25,0.28,0.45,1.35
Greenbelt Recreation Center,GB,c,25,25-42,0.04,0.05,0.08
